"pb","bio1","bio12","bio16","bio17","bio5","bio6","bio7","bio8","biome"
0,238,722,265,101,316,164,151,239,"13"
0,177,1231,348,255,297,79,218,143,"7"
0,250,1997,952,48,340,154,186,248,"1"
0,254,2582,1121,260,329,155,174,270,"1"
0,101,1925,738,295,161,54,106,81,"4"
0,245,1632,664,251,304,190,113,239,"1"
0,245,2013,798,150,316,158,159,251,"1"
0,270,2189,910,226,333,213,119,265,"1"
0,206,1239,619,90,288,102,186,232,"7"
0,194,1861,813,160,260,119,141,201,"1"
0,171,387,172,33,326,-9,335,234,"13"
0,250,1417,895,19,330,171,158,251,"2"
0,245,908,406,72,337,140,196,265,"2"
0,234,241,168,2,329,122,207,272,"13"
0,183,1333,405,239,327,22,304,110,"4"
0,174,421,166,46,346,-21,367,245,"8"
0,141,493,222,40,330,-57,387,245,"8"
0,254,1880,840,154,331,156,176,266,"7"
0,251,2109,943,80,333,171,162,247,"1"
0,90,164,49,33,309,-86,395,60,"13"
0,179,1465,448,271,331,12,319,104,"4"
0,270,1481,826,126,332,218,114,262,"7"
0,256,1255,663,44,336,174,162,255,"1"
0,243,824,379,79,309,179,130,226,"13"
0,270,2753,1118,395,326,221,105,266,"1"
0,145,603,243,55,346,-57,403,199,"8"
0,51,443,125,95,275,-147,422,39,"13"
0,272,1073,651,7,350,192,157,280,"2"
0,239,1545,725,70,313,145,168,247,"7"
0,105,205,66,41,272,-35,308,41,"8"
0,116,272,89,49,279,-32,310,178,"8"
0,245,1177,545,77,329,142,186,257,"2"
0,257,1657,745,143,319,209,109,250,"1"
0,273,2908,1462,41,323,232,91,266,"1"
0,233,1370,694,37,317,119,198,239,"7"
0,152,857,311,98,347,-46,393,243,"8"
0,268,2460,874,319,324,221,103,265,"1"
0,167,550,314,36,290,36,253,188,"13"
0,257,3319,1269,298,316,211,105,256,"1"
0,270,2175,848,331,325,216,109,265,"1"
0,75,303,154,29,226,-37,262,19,"8"
0,265,2392,1002,103,336,210,127,255,"7"
0,255,3581,1006,724,307,204,103,256,"1"
0,236,1158,567,3,333,135,198,237,"7"
0,73,2188,659,477,147,11,136,42,"4"
0,118,1115,313,245,296,-55,351,215,"4"
0,266,3106,1207,331,336,214,122,259,"1"
0,193,4,4,0,264,137,127,218,"13"
0,171,852,473,27,284,51,233,179,"2"
0,94,222,70,38,334,-104,438,88,"13"
0,141,304,98,63,283,23,260,142,"8"
0,217,1800,798,255,277,162,116,215,"1"
0,184,344,228,16,342,7,335,241,"13"
0,263,1360,578,112,336,188,147,271,"1"
0,270,2193,793,270,327,220,107,265,"1"
0,259,2876,1119,163,315,214,101,253,"1"
0,53,350,121,63,268,-133,401,150,"5"
0,67,90,58,4,176,-54,231,105,"10"
0,190,951,359,98,326,66,260,245,"8"
0,249,1969,950,46,336,157,179,248,"1"
0,197,311,191,16,348,25,323,240,"13"
0,174,1064,647,56,306,30,276,210,"3"
0,232,1655,824,27,326,115,210,242,"7"
0,255,2233,1010,76,338,174,164,250,"1"
0,193,688,328,32,336,45,291,249,"2"
0,243,3434,1021,677,300,188,112,240,"1"
0,265,2269,1008,269,326,214,113,261,"1"
0,92,179,147,1,203,-55,258,125,"10"
0,101,952,378,94,161,42,119,103,"1"
0,233,1923,939,36,322,134,188,233,"1"
0,254,1792,687,122,320,178,142,258,"1"
0,55,317,242,3,168,-90,258,80,"10"
0,269,2242,847,184,311,226,85,271,"3"
0,266,2671,1082,196,340,214,126,257,"1"
0,214,2710,1143,234,277,151,126,211,"1"
0,163,155,53,19,367,-11,377,81,"13"
0,250,1284,597,79,332,152,180,261,"1"
0,251,2389,973,184,317,172,145,254,"1"
0,246,1142,460,153,320,170,149,272,"14"
0,220,420,171,44,379,46,334,268,"13"
0,265,2242,906,196,333,199,133,261,"1"
0,234,3490,1092,706,292,179,113,230,"1"
0,255,2319,1053,74,344,170,174,250,"1"
0,268,2323,932,239,331,208,123,264,"1"
0,260,2035,1050,97,321,201,120,256,"1"
0,103,274,95,37,318,-88,406,190,"13"
0,258,1293,559,69,336,172,164,276,"2"
0,249,2111,1007,18,352,137,215,249,"1"
0,246,1973,907,70,333,160,173,245,"1"
0,266,1358,646,18,331,214,117,259,"2"
0,91,557,204,57,284,-76,360,182,"5"
0,263,2003,686,247,333,191,142,266,"1"
0,173,1138,346,234,346,-10,357,172,"4"
0,247,601,391,15,313,186,126,244,"13"
0,268,2451,866,306,323,221,103,265,"1"
0,202,1637,595,272,288,112,177,239,"1"
0,168,1413,439,260,330,-2,332,124,"4"
0,231,686,362,18,346,96,250,276,"2"
0,261,3157,1159,405,327,209,118,253,"1"
0,231,2031,1089,130,324,138,185,247,"1"
0,193,368,205,17,343,41,302,264,"7"
0,235,1367,501,160,321,130,191,258,"7"
0,238,2104,808,313,293,184,110,239,"1"
0,255,1693,614,274,316,201,115,254,"1"
0,269,1508,836,41,332,210,122,262,"1"
0,241,1926,935,40,332,147,185,241,"1"
0,77,315,102,58,300,-91,391,57,"13"
0,223,144,76,3,371,70,301,293,"13"
0,253,1853,775,84,329,181,148,251,"1"
0,153,1447,429,281,319,-19,338,69,"4"
0,153,401,205,6,338,18,320,80,"12"
0,255,1851,737,116,321,178,143,257,"1"
0,281,661,393,0,328,233,94,284,"13"
0,158,439,311,15,316,-12,329,215,"13"
0,149,293,101,45,324,0,324,188,"8"
0,210,90,39,4,356,82,274,194,"13"
0,248,1365,485,192,323,166,157,266,"1"
0,190,1557,434,321,329,33,295,104,"4"
0,250,1018,423,96,318,184,134,273,"2"
0,147,427,254,1,231,64,167,120,"12"
0,130,1148,351,239,313,-58,371,130,"4"
0,168,811,317,63,315,38,277,222,"8"
0,258,948,369,86,318,196,123,276,"2"
0,225,1354,464,185,319,126,193,253,"7"
0,268,2590,1241,180,330,212,118,265,"1"
0,239,1662,777,39,316,139,177,246,"7"
0,191,861,279,172,356,15,341,231,"8"
0,161,724,319,36,294,27,267,213,"7"
0,208,1510,794,38,285,107,178,220,"7"
0,226,4080,1300,766,283,171,112,223,"1"
0,267,2438,961,211,329,206,123,262,"1"
0,268,1873,822,175,330,217,113,262,"1"
0,163,604,240,60,361,-41,403,216,"8"
0,249,968,637,13,327,178,149,242,"13"
0,142,1353,384,275,318,-44,362,143,"4"
0,257,1368,625,100,335,158,177,274,"9"
0,224,1388,609,74,303,145,157,228,"3"
0,253,3424,1512,221,310,198,112,255,"1"
0,184,2757,927,348,237,132,105,182,"1"
0,119,280,89,57,280,-26,306,93,"8"
0,256,1086,477,83,337,162,175,277,"2"
0,120,1119,332,246,299,-61,359,204,"4"
0,257,2809,1072,234,323,199,125,252,"2"
0,240,1542,724,41,323,136,187,251,"7"
0,260,2319,1013,315,328,211,117,254,"1"
0,260,2126,997,113,320,205,115,256,"1"
0,158,1027,325,182,341,-30,371,190,"4"
0,258,1128,743,9,373,154,218,253,"2"
0,159,517,208,40,338,2,336,224,"8"
0,123,909,351,85,322,-86,407,223,"8"
0,250,1988,769,151,319,168,151,253,"1"
0,182,1410,405,291,288,88,200,143,"7"
0,266,2207,1001,246,330,215,115,262,"1"
0,244,1444,592,191,318,160,158,269,"14"
0,172,1191,329,266,276,87,188,136,"1"
0,270,1097,573,33,343,199,144,265,"13"
0,203,1557,481,323,324,61,263,270,"7"
0,260,1555,841,16,334,180,154,262,"7"
0,193,500,255,20,329,51,279,253,"7"
0,235,727,440,21,309,161,148,239,"13"
0,225,636,386,25,296,163,133,236,"13"
0,195,1905,761,271,278,112,166,231,"1"
0,285,1802,616,206,348,218,131,284,"2"
0,255,2570,1029,205,323,200,123,251,"1"
0,35,651,201,115,237,-146,383,127,"5"
0,148,2508,812,423,196,101,95,145,"1"
0,209,956,484,53,292,108,184,229,"2"
0,115,1706,805,179,229,33,197,81,"4"
0,117,551,245,38,335,-96,431,218,"8"
0,216,3185,1063,443,277,160,117,212,"1"
0,197,313,152,27,355,14,341,268,"3"
0,264,3548,1552,138,337,198,138,260,"1"
0,197,1769,701,192,273,109,164,198,"1"
0,267,2534,1042,166,343,215,127,258,"1"
0,124,1029,287,215,304,-56,360,219,"4"
0,129,151,43,30,298,-16,314,121,"8"
0,267,2489,857,318,323,219,104,263,"1"
0,235,2680,1325,112,305,170,135,231,"1"
0,111,284,197,4,228,-36,264,152,"10"
0,260,1961,716,281,315,209,106,259,"1"
0,264,2865,1067,265,325,204,122,263,"1"
0,162,919,332,129,347,-33,380,208,"8"
0,208,1109,386,125,331,92,239,234,"9"
0,119,287,132,31,328,-74,403,217,"13"
0,74,663,316,69,214,-29,243,24,"8"
0,257,1371,522,146,319,187,131,267,"1"
0,187,1,1,0,283,103,180,224,"13"
0,231,422,199,13,306,149,157,243,"13"
0,254,2786,1055,314,314,208,106,254,"1"
0,229,1543,728,52,303,140,164,235,"7"
0,226,2458,906,427,287,169,118,222,"1"
0,105,243,74,46,318,-71,389,24,"13"
0,251,941,383,88,318,186,132,273,"2"
0,260,2389,964,138,333,185,148,256,"1"
0,256,3035,1375,207,332,198,134,245,"1"
0,144,418,196,34,329,-57,386,230,"8"
0,271,3185,1583,59,325,231,94,263,"1"
0,178,1287,390,235,327,14,313,106,"4"
0,174,491,188,59,345,-18,363,225,"8"
0,129,398,197,27,328,-71,399,234,"8"
0,189,1560,499,301,323,38,285,265,"5"
0,179,1478,437,270,330,17,313,105,"4"
0,261,1271,607,70,346,160,186,275,"9"
0,83,438,213,38,278,-107,385,183,"8"
0,262,839,330,92,323,202,121,276,"2"
0,258,2436,795,313,316,192,124,259,"1"
0,139,684,417,41,296,-22,318,195,"3"
0,176,115,46,11,383,1,382,95,"13"
0,260,2665,1107,148,334,188,146,255,"1"
0,115,1155,595,20,230,24,206,82,"5"
0,244,2276,1083,138,327,168,159,257,"1"
0,258,4238,1378,814,301,222,79,260,"1"
0,273,1933,884,212,328,217,111,266,"1"
0,211,934,562,11,290,118,172,222,"1"
0,254,1414,640,43,334,154,180,266,"7"
0,140,975,490,59,218,46,172,149,"10"
0,267,2520,979,252,326,212,113,262,"1"
0,274,1603,802,8,343,194,150,273,"2"
0,239,1011,510,4,342,122,220,243,"2"
0,168,653,272,44,325,18,308,227,"8"
0,278,836,473,23,335,221,113,277,"13"
0,264,1987,967,167,340,211,129,260,"1"
0,278,2888,1180,214,349,224,125,267,"7"
0,281,1360,802,14,370,183,187,287,"2"
0,156,1598,662,111,219,98,120,152,"1"
0,250,1518,752,16,334,143,191,257,"7"
0,178,1229,343,249,339,12,327,195,"5"
0,170,1119,458,65,229,101,128,172,"1"
0,195,14,7,1,267,137,130,171,"13"
0,129,237,167,3,212,37,175,150,"13"
0,180,594,306,35,314,32,282,230,"1"
0,266,1969,1115,76,328,206,122,264,"1"
0,158,1224,380,244,336,-23,359,159,"4"
0,156,711,265,82,352,-41,393,219,"8"
0,66,1369,605,160,195,-25,220,18,"4"
0,246,901,378,74,338,140,197,269,"2"
0,72,159,107,4,188,-57,246,114,"10"
0,267,2563,1239,125,347,210,137,255,"1"
0,240,1889,865,57,322,134,187,244,"7"
0,241,2537,1142,140,312,173,138,244,"1"
0,259,1268,599,61,341,157,184,271,"9"
0,260,1339,628,80,340,160,180,275,"9"
0,253,914,339,108,329,169,160,268,"2"
0,185,713,244,113,351,5,346,226,"8"
0,52,1113,326,232,124,-13,137,62,"4"
0,122,1073,299,245,283,-38,321,222,"5"
0,172,784,357,39,306,36,270,224,"8"
0,243,1113,464,144,314,177,137,230,"1"
0,253,2117,935,139,324,203,121,249,"1"
0,252,1731,721,86,325,169,155,258,"1"
0,103,216,76,41,223,3,220,49,"8"
0,173,797,366,38,306,37,268,229,"8"
0,256,1568,831,20,332,166,166,260,"7"
0,194,147,61,3,341,63,278,141,"13"
0,262,2728,887,523,315,211,104,257,"1"
0,253,2039,892,157,334,175,159,259,"1"
0,213,1184,407,144,332,103,229,240,"7"
0,255,2276,1034,69,338,169,169,254,"1"
0,71,265,83,54,293,-98,391,52,"13"
0,215,1775,761,172,281,141,140,223,"1"
0,162,666,314,59,271,42,230,187,"3"
0,91,98,86,0,212,-63,275,128,"10"
0,55,240,111,28,273,-172,445,157,"13"
0,265,2657,1025,243,323,209,114,260,"1"
0,258,2793,878,503,311,201,110,259,"1"
0,238,1754,511,338,288,189,99,235,"1"
0,251,272,183,6,385,91,294,318,"2"
0,248,2427,1095,41,353,152,201,242,"1"
0,260,1891,763,107,327,189,138,261,"1"
0,116,1112,328,233,296,-69,364,163,"4"
0,4,1620,483,295,74,-60,134,5,"11"
0,82,188,64,32,241,-45,285,17,"8"
0,252,766,382,3,338,159,179,256,"7"
0,198,1056,378,112,330,78,252,249,"9"
0,246,1430,1073,16,328,140,188,274,"3"
0,240,419,211,48,306,191,115,260,"13"
0,-3,1620,481,303,67,-67,134,2,"11"
0,268,1879,903,214,327,214,114,261,"1"
0,222,1253,703,31,302,112,190,235,"7"
0,263,1546,825,52,336,189,147,261,"7"
0,75,273,107,38,200,-27,227,27,"8"
0,230,2819,1481,180,288,176,112,239,"1"
0,113,1736,476,391,270,-52,322,43,"4"
0,251,1890,799,92,319,169,150,255,"1"
0,242,2486,910,408,300,187,113,236,"1"
0,256,1973,848,189,327,177,149,263,"1"
0,240,1575,773,41,326,132,194,251,"7"
0,69,1368,616,144,203,-19,221,22,"4"
0,268,1154,581,113,323,217,106,267,"2"
0,97,327,106,51,319,-101,419,163,"13"
0,268,1369,531,88,337,199,137,265,"13"
0,267,2435,950,344,322,215,107,264,"1"
0,219,1842,753,245,303,128,175,254,"1"
0,83,325,218,5,194,-59,253,109,"10"
0,262,2783,1202,265,352,176,175,273,"1"
0,204,524,313,36,376,31,346,272,"3"
0,204,1396,791,36,286,95,191,220,"1"
0,153,1412,418,265,323,-21,344,134,"4"
0,209,1094,372,141,331,96,234,236,"7"
0,175,351,157,34,345,-12,357,251,"13"
0,137,843,251,168,272,33,239,183,"8"
0,261,2366,864,221,327,201,125,256,"1"
0,262,1106,413,163,307,214,93,268,"13"
0,261,2486,926,396,321,204,117,255,"1"
0,201,1466,765,49,282,95,187,218,"1"
0,242,2648,873,373,316,164,152,243,"1"
0,252,1442,607,98,327,170,157,270,"1"
0,216,62,29,1,370,64,306,271,"13"
0,250,2362,1082,146,311,192,119,246,"1"
0,267,2255,1065,30,350,182,167,267,"7"
0,120,1094,330,236,301,-64,364,204,"4"
